,negative_prob,positive_prob
alleingelassen,0.9881566853401228,0.01939671412988562
skandalisierung,0.939580966509328,0.059145856557845065
vorsätzlichen,0.996243651330756,0.0105712473430719
fehlberatung,0.9524426411124498,0.046022909679681714
lamentieren,0.9857568582039908,0.012018102586481456
einkommensunterschiede,0.9435478796831496,0.04548246147252805
mißachtet,0.945947722243913,0.13439319948010528
einknicken,0.9942040320727836,0.0038581565479826095
massenmorde,0.9852938885188024,0.015716448653050517
panikmache,0.9910839060725258,0.007883601566122786
spätabtreibungen,0.9586820440457072,0.030101031947827574
versachlichen,0.9400686329617656,0.08515693984094858
machthaber,0.9935903257990276,0.004682215370867865
abschiebungen,0.9434337455049456,0.07800267921977491
jahrelange,0.9740057408864584,0.023450097023716667
absenkungen,0.9674222458671076,0.02923084963360605
stimmungen,0.9868027953414008,0.01017020791698708
separatisten,0.9697927702204168,0.024276835604503062
alkoholkonsum,0.9726779485520306,0.007244838351510595
antieuropäisch,0.9884889512582092,0.01939876640146825
einmarsch,0.9961777587087876,0.00210091115963602
finanzkrisen,0.9822035556457552,0.015109102876619753
besitzstände,0.946598371492817,0.09800270064062304
belastenden,0.9953996543647908,0.010189028900139013
missmanagement,0.9852205792234208,0.007025032126522128
vollstreckt,0.9747582846160178,0.017524077819199776
wohnungseinbrüche,0.9834312172441072,0.01873587660132492
massenhinrichtungen,0.9883767660020318,0.006735024066911968
überlastete,0.9836551292908166,0.011731538322256098
einwänden,0.9811475534154708,0.01793673752001727
flammen,0.977550509345875,0.005260904858567115
leidtragende,0.957328702675804,0.059930955353356276
monatelang,0.9546530259966562,0.024091605382200384
deals,0.9864975602947804,0.01746498935600626
trümmern,0.9820548351920418,0.007773474332923352
substanzlosigkeit,0.953063546218274,0.041703426418374205
pflegekasse,0.9797238144674608,0.0068870627478418815
abtauchen,0.9475351022397329,0.03365892870783135
hineingezogen,0.9875986893479086,0.018374943507896608
überstürzt,0.9952980732089292,0.009730715052106148
luftkrieg,0.979755966513227,0.012259007488235898
griffen,0.9363666577682545,0.043025885048263164
desertion,0.9657521561164382,0.04107910676914947
erblasten,0.9900823662039872,0.02976626466140205
kapituliert,0.9928063811803438,0.011033566775619142
gewollter,0.9531059773105921,0.07146137750221644
verunreinigungen,0.9835093418541824,0.009083274378206713
isolation,0.984779412541796,0.02911269463970878
notenbanken,0.9339990733155314,0.046295612709706564
verdrehung,0.9551700536788807,0.033701246378151965
krisenhaften,0.9651920587194208,0.02762419305834564
naziherrschaft,0.9581968469204798,0.040403667327069785
auseinanderdriften,0.9999940272550112,0.0016190249288969133
nachkriegszeit,0.9362870421879512,0.03767927200674162
brandherd,0.9452894123645136,0.029099053832406425
hungerkatastrophen,0.9814392130919148,0.0191164245774699
dubiosen,0.954343668253838,0.07607356560788528
sparpolitik,0.9674702265417268,0.018035766368172827
stigmatisieren,0.9311800750900132,0.06198477538112706
schlagseite,0.9464021971917675,0.044872474289951975
nachzugeben,0.9682788865819024,0.05297558006970212
täterschutz,0.9612326361099834,0.03573650896158752
schandtaten,0.9361177436328462,0.059194487737495985
industrialisierung,0.9348837925393,0.05615281209572755
angeheizt,0.972253499083168,0.05492570753339068
unausgewogene,0.9955050331093224,0.012930804772005556
ränder,0.9537724477483214,0.04879179055717157
schmierereien,0.9323037406345708,0.08021759447866611
todesgefahr,0.9817884383604741,0.014734249454794804
verirrung,0.9503647487138492,0.022872869040198144
abgeschotteten,0.9528065447901136,0.04824834928435194
behaupteten,0.9970567883114524,0.0021623964445889195
verklärt,0.9684330911809595,0.04053469335594697
verwahre,0.9857010229683191,0.02910159545857793
dissidenten,0.9816183651823562,0.01346110041257848
riesenproblem,0.9692411513869256,0.03400375198985471
einflüssen,0.9386667032292744,0.0607823183212827
sündenfall,0.9420078544827044,0.013306191198820679
kriminalisiert,0.9856217479555044,0.025637340685770442
homophobie,0.9930979322251776,0.012271857764665826
lockerung,0.9569877860463344,0.037694812824416224
keule,0.981817883011248,0.04376111234342751
zynischer,0.9440853107268008,0.13417557503115882
